Company_name,Ticker,Headquarters_State,Headquarters_City,Date,Covid_19,helpful,Overall_Score,Work_Score,Culture_Score,Diversity_Score,Career_Score,Compensation_Score,Senior_Manage_Score,Past,Current,Intern,Contract,Freelance,Position,evaluation,Full_time,Part_time,Less_than_a_year,more_than_a_year,more_than_3_years,more_than_5_years,more_than_8_years,more_than_10_years,Pros,Cons,Advice to Management
Zodiac Aerospace,ZC, France,Plaisir,"October 9, 2017",,(2),2.0,4.0,1.0,,1.0,2.0,1.0,,,,,, Doesn't Recommend,Disapproves of CEO,,,,,,,,,"Some great co-workers, just not enough of them. Exposure to great products.","High turnover, limited training. I was thrown in to a new position, worked with the customer to define my goals and meet their needs. But, received a less than average review for my performance, yet guidelines not defined. One upper manager spoke negatively of my customer by email. Not smart to do that. One raise of 2% in 3 years.  The French....","I wanted to stay, but I left when no upward mobility provided and my request for such ignored. Stop chasing away people who wanted to make a career at Zodiac."
Zodiac Aerospace,ZC, France,Plaisir,"January 4, 2016",,,4.0,5.0,5.0,,3.0,4.0,4.0,,Current,,,, CI Lean Specialist,"Recommends, Negative Outlook",full time,,,,,,More than 8 years,,"They have a 4 day work week, tuition reimbursement, paid gym, wellness program and good 401k match.",Tend to pay at the low end of your job title. The perks make up for the lower pay. Corporate will not allow more than a 3 percent increase.,None
Zodiac Aerospace,ZC, France,Plaisir,"July 9, 2018",,,5.0,5.0,2.0,,5.0,4.0,2.0,Former,,,,, Quality Assurance Inspector,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,More than 5 years,,,"Ample amount of time off, good benefits, decent pay, great hours.","Production management have no values. Only concerned with the amount of seats produced and shipped out the door, regardless of quality.",Start holding yourselves and your assemblers accountable and strive to produce a pristine quality product.
Zodiac Aerospace,ZC, France,Plaisir,"May 28, 2015",,(2),5.0,,,,,,,,Current,,,, Anonymous Employee,"Recommends, Positive Outlook",,part time,,More than a year,,,,,Diverse background of employees gives new hires a lot to learn and pursue at this company. Laid back atmosphere that gets things done.,Meetings can get slightly out of hand or off topic.,None
Zodiac Aerospace,ZC, France,Plaisir,"April 30, 2016",,,5.0,4.0,4.0,,4.0,3.0,4.0,,Current,,Contractor,, Avionics,"Recommends, Positive Outlook, Approves of CEO",,,less than a year,,,,,,"Work is easy large area to work in,no cramped aircraft spaces working on wiring monuments and lavs","Long drive, work is supposed to be tack time they are working on it drawing discripinces",Employe people who have some experience and offer a good pay rate to keep them
Zodiac Aerospace,ZC, France,Plaisir,"June 10, 2017",,,1.0,4.0,1.0,,2.0,3.0,2.0,,Current,,,, Salaried Employee,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",full time,,,,More than 3 years,,,,"Good Benefits, Company shuts down with paid time off between Christmas & New Years.","There is no communication or follow through from upper and middle management while performance and customer approval continue to suffer. Work silos and finger pointing are major issues within this organization and there is a vast disconnect between Corporate in France and the US facilities that prevents adequate modernization and process improvement. Zodiac Seats refuses to invest in training, equipment, and infrastructure that would increase quality and on time delivery in order to bring them up to par with other organizations and customer expectations.",You must spend money to make money; invest in your employees and in the company. Stop cutting corners and blaming others for the failures of the organization. Communicate with the work force and focus on doing things the right way the first time.
Zodiac Aerospace,ZC, France,Plaisir,"May 31, 2018",,,2.0,4.0,1.0,,3.0,4.0,1.0,Former,,,,, 2cd Shift Lead Tooling Department,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",full time,,,,,,,More than 10 years,Truthfully and regrettably I can't think of any good reason to work at Zodiac at this time.,"In my opinion this is one of the most poorly managed business' I have ever been involved with. Poor communication, very segregrated. Deartments are like many individual companys under one roof. The right foot has no idea what the left foot is doing. Extreme waste of resources.",For the most part sweep them all out and start over. Management has become clueless. Very sad. Has not always been like this. This company went into a nose dive with the management team that was brought in several years ago.
Zodiac Aerospace,ZC, France,Plaisir,"June 12, 2014",,(1),4.0,4.0,3.0,,3.0,5.0,1.0,Former,,,,, Project Manager,"Recommends, Neutral Outlook, Approves of CEO",full time,,,,,,More than 8 years,,4 day work week,Limited opportunities for advancement because no one ever leaves or retires.,Do not show blatant favortism. Make it more subtle
Zodiac Aerospace,ZC, France,Plaisir,"August 26, 2015",,,3.0,2.0,3.0,,2.0,4.0,3.0,,Current,,,, Product Test Engineer,"Recommends, Neutral Outlook, Approves of CEO",full time,,,More than a year,,,,,The people are friendly and everyone tries to help each other which makes the company feel like a big family. The pay is decent and the holiday shutdown towards December is always nice.,"Working long hours is the norm, 9-10 hour days. Not much recognition for work unless you have been doing it for a long time. And not much growth even if you do well.","Pay is a bit low and could be higher. Also, scheduling the time allocated for certain projects need to be increased cause at the current state the only way to get deliverables finished on time is to work like 12 hour days."
Zodiac Aerospace,ZC, France,Plaisir,"July 6, 2016",,(1),4.0,4.0,3.0,,4.0,4.0,4.0,,,,,,Assembly L,None,,,,More than a year,,,,,"Fast pace, always changing day to day activity or seats, get to meet new people. Can move around, or transfer to a different area with company.","Do not always have the parts you need at the right time, slow on receiving parts.",None
Zodiac Aerospace,ZC, France,Plaisir,"May 7, 2017",,,2.0,,,,,,,,,,,, Doesn't Recommend,"Neutral Outlook, No opinion of CEO",,,,,,,,,"Good staff who are not and unable to truly succeed and excel due to weak and poor examples of organizational mgmnt and poor, non-existent leadership.","Management from middle to executives are unable to carry out execute, and exemplify needed leadership, guidance, and professionalism. The small percentage of longtime employees and mgmnt lack core values, and those with work ethics and professional values, suffer for their inept, nappropriate behavior, and poor judgement.",Grow up. You are adults in the workplace responsible for success of company that is your livelihood as well as provide a livelihood for others in the workplace. It is not a playground nor pick up bar.
Zodiac Aerospace,ZC, France,Plaisir,"May 24, 2016",,(1),5.0,5.0,5.0,,2.0,5.0,5.0,,,,,,Data Analyst ,None,,,less than a year,,,,,,The culture is relaxed. Management works diligently to promote a work life balance.  Lunch is provided every Wednesday.  Free coffee and snacks.,"Little opportunity for growth. At times, depending on you manager, things can be extremely disorganized.",None
Zodiac Aerospace,ZC, France,Plaisir,"August 18, 2017",,,4.0,4.0,3.0,,3.0,4.0,3.0,Former,,,,, Buyer,"Recommends, Positive Outlook, No opinion of CEO",full time,,,,,,More than 8 years,,"Good place to work, friendly people, opportunities to grow. Close to home , you get help with studies, I wish they allow part time work too","Lack of communication, I wish there was a better communication, sometimes hard to make some people understand . No people appreciation",None
Zodiac Aerospace,ZC, France,Plaisir,"June 12, 2018",,(3),2.0,3.0,2.0,,2.0,2.0,2.0,,Current,,,, Anonymous Employee,NULL,full time,,,More than a year,,,,,Flexibility and friendly employees. The manager was easy to work and communicate with.,"Company itself lack vision and organization. HR seems to know nothing about their job, very irresponsible and useless. They hire their and stay very complacent with their role. Almost impossible to move up the ranks or develop a growth program for yourself unless you know the managers personally or been working there for like 10 years.","Reorganize everything, including HR and upper management. Pay the employees well. If you act like Walmart equivalent of the industry, then your employees will have no motivation or entitlement to their job or responsibilities."
Zodiac Aerospace,ZC, France,Plaisir,"November 13, 2015",,(2),4.0,1.0,2.0,,3.0,3.0,3.0,Former,,,,, 6 Months,"Recommends, Negative Outlook, No opinion of CEO",full time,,less than a year,,,,,,"Great Team environment, good benefits, opportunity for advancement","They are in the middle of nowhere, they are currently unstable, too many changes in management","Provide better vision for the company, fix the system problems and create stability"
Zodiac Aerospace,ZC, France,Plaisir,"September 28, 2016",,(2),4.0,,,,,,,,Current,,,, Anonymous Employee ,NULL,full time,,,,,,,,"Nice bosses, good hrs, lots of overtime most of the time.","Times when it's really slow, then there are time when you are extremely slammed.",Let employees know what is going on in the company.
Zodiac Aerospace,ZC, France,Plaisir,"September 5, 2013",,(4),2.0,2.0,2.0,,2.0,1.0,1.0,Former,,,,, Design Engineer,"Doesn't Recommend, Neutral Outlook, Disapproves of CEO",full time,,,,,More than 5 years,,,"Amazing people all young fresh out of college learning their skills for the next company. I loved working with the people I went to school with, we all talked about our next jobs while at Zodiac. We learn as much as we can and then head out to make a real salary and better working conditions and more exciting cities.","Upper Management has too much ego, they promote failures into other positions with titles that they just make up. They have this steering committee group that really does nothing but is the favored team that get's all the glory. The management is not in touch with the engineers and has no idea of what is really done, they love their nice meetings that always run late or they are late too and wonder why the engineers cannot get anything done. We are always waiting for the managers for something. Underpaid for what we are challenged with. They treat people like dogs and do not take care of our needs - computers, chairs, poor seating, no office supplies. I have to bring my own stuff. There is no room to move up - they promote failing managers to other roles and do not promote the engineers who are bright and smart into better roles. Senior management does not listen to the people, they decide based on politics who they like this week. Don't waste your time if you looking for a career but if you want to learn catia and other programs put in your 18 months. They could not keep people in senior management roles because of the rumors that they collided with the CEO.","Change the CEO and his team. They need to be revamped and bring in new talent. Drop the EGO's and start proving that you are listening to your people. The off site meetings are stupid they are lectures with no results - Really they need a new CEO - one who relates with the people, one who really understands what the engineers and program managers do daily. Stop being late to meetings and actually contribute instead of demand"
Zodiac Aerospace,ZC, France,Plaisir,"June 24, 2016",,(4),2.0,1.0,2.0,,2.0,2.0,1.0,,,,,, Doesn't Recommend,Negative Outlook,,,,More than a year,,,,,"Busy at times, great co workers, great place to start in Aerospace","Lack of communication, no team work with upper management to the teams. Expect you to work 10-12 hour days plus weekends. No respect for employees or families. Company is going down in flames due to over promising to customers with no real understanding of what is going on at the production floor level.",Treat your employees with respect and don't work them to death because of your failures. Take active role in listening to the people who are doing the work.
