Company_name,Ticker,Headquarters_State,Headquarters_City,Date,Covid_19,helpful,Overall_Score,Work_Score,Culture_Score,Diversity_Score,Career_Score,Compensation_Score,Senior_Manage_Score,Past,Current,Intern,Contract,Freelance,Position,evaluation,Full_time,Part_time,Less_than_a_year,more_than_a_year,more_than_3_years,more_than_5_years,more_than_8_years,more_than_10_years,Pros,Cons,Advice to Management
Zebra Technologies,ZBRA, IL,Lincolnshire,"February 19, 2018",,(3),2.0,4.0,3.0,,3.0,2.0,1.0,Former,,,,, Anonymous Employee ,"Doesn't Recommend, Neutral Outlook, Approves of CEO",full time,,,,,,,,Flexible working hours and work life balance,"The Senior HR Personnel always show black face to employees whenever employee engage her to seek for answer / request. Kept show ""Take to my Hand"" signal when employees approached. Not friendly at all.",Please educate her how to be a senior instead.
Zebra Technologies,ZBRA, IL,Lincolnshire,"March 10, 2016",,(1),3.0,,,,,,,,,,,,Team Lead ,"Doesn't Recommend, Neutral Outlook, Disapproves of CEO",,,,,,,,,Good medical benefits to staff and dependents,"Company increasing focus on products rather than solutions & services, channel centric with less emphasis on direct business",Need to improve its solutions & services strategy before the business is totally wiped out after the MSI Enterprise acquisition.
Zebra Technologies,ZBRA, IL,Lincolnshire,"May 18, 2016",,(1),2.0,3.0,4.0,,2.0,4.0,4.0,,,,,,Technical Lead ,"Recommends, Positive Outlook, Approves of CEO",,,,,,,More than 8 years,,Work culture is good. Industry standard salary.,Performance evaluation is baised in some teams. It all depends on how you communicate and impress manager rather than actual work itself.,More systematic way of doing performance management will be good for org.
Zebra Technologies,ZBRA, IL,Lincolnshire,"January 27, 2017",,,3.0,1.0,4.0,,2.0,2.0,2.0,,Current,,,, Anonymous Employee ,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,,Right industry and market space & offerings at the right time.,Too reliant on external consultant for advise in running the organization.,Compelling corporate strategic direction. Can further improve on execution and concurrently build employee engagement by listening more to employees across the functions and region.
Zebra Technologies,ZBRA, IL,Lincolnshire,"January 24, 2018",,,3.0,3.0,3.0,,2.0,3.0,1.0,Former,,,,, Anonymous Employee,"Doesn't Recommend, Neutral Outlook, No opinion of CEO",full time,,,More than a year,,,,,It was a relatively new company start up in Malaysia. There were many areas/program where you can contribute and help build.,Management is poor. Frequent restructuring & changes and compulsive & reactive decision making .,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"August 6, 2016",,,3.0,3.0,1.0,,2.0,4.0,1.0,Former,,,,, Executive,"Recommends, Neutral Outlook, No opinion of CEO",full time,,,More than a year,,,,,"Great benefits, and medical. Get to use leave when you join. Office that have the latest IT systems and equipments","Typical corporate industry, culture is rather political. Everyone are acting in their self interest",Try to pay attention to the ground
Zebra Technologies,ZBRA, IL,Lincolnshire,"July 8, 2016",,(1),3.0,4.0,3.0,,3.0,3.0,3.0,,,,,,Lead Eng,"Recommends, Positive Outlook",,,,,,,,,"More opportunities for self-learners, innovators In some teams work-life balance is good",Not much knowledge sharing from experienced employees. Need more marketing strategies/good sales persons for selling products.,Provide RSUs and ESPP to retain good employees..
Zebra Technologies,ZBRA, IL,Lincolnshire,"September 5, 2017",,(2),3.0,3.0,4.0,,2.0,1.0,3.0,,Current,,,, Anonymous Employee ,No opinion of CEO,full time,,,More than a year,,,,,"Multicultural environment, opportunity to learn harmonization process after acquisition (Motorola, Symbol).","Zebra invests more money to external consulting companies than to its own enployees (low bonuses, poor motivation&career program).",None
Zebra Technologies,ZBRA, IL,Lincolnshire,"November 17, 2016",,,3.0,3.0,3.0,,3.0,3.0,3.0,Former,,,,, Enterprise WLAN Account Manager (BDM),"Doesn't Recommend, No opinion of CEO",full time,,,More than a year,,,,,Well known brand gives you some advantages while communicating with clients,WLAN business was sold to Extreme Networks; Lack of modern vision and solution oriented sales - just a box moving approach.,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"March 14, 2017",,,3.0,3.0,2.0,,2.0,2.0,3.0,Former,,,,, Anonymous Employee ,"Recommends, Neutral Outlook, Approves of CEO",full time,,,,,,,,"Since Zebra acquired Motorola Solutions solutions enterprise business, they are investing in other technologies increasing their protfolio.","They could offer better benefits to all employees. As it is a ""new company"" there is no culture.",None
Zebra Technologies,ZBRA, IL,Lincolnshire,"June 12, 2017",,(2),2.0,2.0,3.0,,2.0,1.0,1.0,,Current,,,, Software Specialist,"Doesn't Recommend, Neutral Outlook, Disapproves of CEO",full time,,,,More than 3 years,,,,"Good people, local good working environment, interesting work","low salary, bad management, very much formal , low incentives",care employees with a better attitude
Zebra Technologies,ZBRA, IL,Lincolnshire,"July 10, 2015",,,3.0,4.0,4.0,,3.0,3.0,4.0,,,,,, Recommends,"Positive Outlook, No opinion of CEO",,,,,,,,,"Friendly and helpful colleagues, good environment to work in",Hope there will be more proper training,To interact more with ground staff and listen to their feedback
Zebra Technologies,ZBRA, IL,Lincolnshire,"July 29, 2016",,(3),1.0,1.0,1.0,,3.0,1.0,1.0,,Current,,,, Software Engineer,"Doesn't Recommend, Neutral Outlook, No opinion of CEO",full time,,,More than a year,,,,,Some good projects. Good exposure in few of the teams,It's a blame pointing game. You are simply a victim if anything goes wrong. No one above you will take responsibility. Even if he is a direct reason for it.,Need to have better performance review mechanism like 360 degree performance.
Zebra Technologies,ZBRA, IL,Lincolnshire,"February 3, 2016",,(7),1.0,3.0,1.0,,1.0,1.0,1.0,Former,,,,, Customer Service Representative,"Doesn't Recommend, Neutral Outlook, No opinion of CEO",full time,,,,More than 3 years,,,,"it is a secure job, you will not be fired, customers are nice in general and the dayly routine it is not so unbarable. (depend on the leader that you have)","poor management, supervisor are not prepared or able to do what they should, no promotions are really possible.",None
Zebra Technologies,ZBRA, IL,Lincolnshire,"October 4, 2016",,,3.0,2.0,3.0,,3.0,3.0,3.0,,,,,, Doesn't Recommend,"Neutral Outlook, Approves of CEO",,,,,,,,,Excellent to develop new skills and open new markets,"Poor organizational culture, tight values and processes",Take advantage of people´s differenciators
Zebra Technologies,ZBRA, IL,Lincolnshire,"April 15, 2016",,(2),3.0,5.0,2.0,,2.0,2.0,3.0,,Current,,,, Interaction Designer,NULL,full time,,,More than a year,,,,,"Very flexible work-life balance, relaxed atmosphere","Lacks management support on career development, often places urgent over important",None
