Company_Name,Ticker,Overview,Review
Virtusa,VRTU,"https://www.glassdoor.com/Overview/Working-at-Virtusa-EI_IE29396.11,18.htm",https://www.glassdoor.com/Reviews/Virtusa-Reviews-E29396.htm
SPX,SPXC ,"https://www.glassdoor.com/Overview/Working-at-SPX-EI_IE580.11,14.htm",https://www.glassdoor.com/Reviews/SPX-Reviews-E580.htm
CoreLogic,CLGX,"https://www.glassdoor.com/Overview/Working-at-CoreLogic-EI_IE30994.11,20.htm",https://www.glassdoor.com/Reviews/CoreLogic-Reviews-E30994.htm
Delek US,DK,"https://www.glassdoor.com/Overview/Working-at-Delek-US-EI_IE24268.11,19.htm",https://www.glassdoor.com/Reviews/Delek-US-Reviews-E24268.htm
Clear Channel Outdoor,CCO,"https://www.glassdoor.com/Overview/Working-at-Clear-Channel-Outdoor-EI_IE635968.11,32.htm",https://www.glassdoor.com/Reviews/Clear-Channel-Outdoor-Reviews-E635968.htm
Smile Direct Club,SDC,"https://www.glassdoor.com/Overview/Working-at-Smile-Direct-Club-EI_IE1043560.11,28.htm",https://www.glassdoor.com/Reviews/Smile-Direct-Club-Reviews-E1043560.htm
Alliance Data,ADS,"https://www.glassdoor.com/Overview/Working-at-Alliance-Data-EI_IE11421.11,24.htm",https://www.glassdoor.com/Reviews/Alliance-Data-Reviews-E11421.htm
CIT,CIT,"https://www.glassdoor.com/Overview/Working-at-CIT-EI_IE6835.11,14.htm",https://www.glassdoor.com/Reviews/CIT-Reviews-E6835.htm
ClubCorp,MYCC,"https://www.glassdoor.com/Overview/Working-at-ClubCorp-EI_IE2747.11,19.htm",https://www.glassdoor.com/Reviews/ClubCorp-Reviews-E2747.htm
D.R. Horton,DHI,"https://www.glassdoor.com/Overview/Working-at-D-R-Horton-EI_IE2195.11,21.htm",https://www.glassdoor.com/Reviews/D-R-Horton-Reviews-E2195.htm
"Columbia Bank (WA, OR & ID)",COLB,"https://www.glassdoor.com/Overview/Working-at-Columbia-Bank-WA-OR-and-ID-EI_IE2255.11,37.htm",https://www.glassdoor.com/Reviews/Columbia-Bank-WA-OR-and-ID-Reviews-E2255.htm
RealPage,RP,"https://www.glassdoor.com/Overview/Working-at-RealPage-EI_IE104221.11,19.htm",https://www.glassdoor.com/Reviews/RealPage-Reviews-E104221.htm
Public Storage,PSA,"https://www.glassdoor.com/Overview/Working-at-Public-Storage-EI_IE626.11,25.htm",https://www.glassdoor.com/Reviews/Public-Storage-Reviews-E626.htm
DXL Group,DXLG,"https://www.glassdoor.com/Overview/Working-at-DXL-Group-EI_IE732892.11,20.htm",https://www.glassdoor.com/Reviews/DXL-Group-Reviews-E732892.htm
Sealed Air Corporation,SEE,"https://www.glassdoor.com/Overview/Working-at-Sealed-Air-Corporation-EI_IE590.11,33.htm",https://www.glassdoor.com/Reviews/Sealed-Air-Corporation-Reviews-E590.htm
